@relation _tm450

@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer
@attribute 84:18:3a:2b:f2:e8 integer
@attribute 6c:aa:b3:13:23:f8 integer
@attribute 6c:aa:b3:53:23:f8 integer
@attribute 56:5a:04:09:26:9a integer
@attribute 34:31:c4:0a:ea:d2 integer
@attribute 64:66:b3:78:82:8b integer
@attribute 84:18:3a:29:04:58 integer
@attribute 64:66:b3:78:82:8a integer
@attribute 84:18:3a:69:04:58 integer
@attribute 34:31:c4:eb:da:d2 integer
@attribute 08:96:d7:b2:5f:c8 integer
@attribute 34:81:c4:da:84:ba integer
@attribute 08:96:d7:04:e1:fa integer
@attribute 12:a0:96:f6:ec:b3 integer
@attribute 6c:aa:b3:37:90:dc integer
@attribute 6c:aa:b3:77:90:dc integer
@attribute 84:18:3a:69:0e:08 integer
@attribute c0:25:06:83:b3:df integer

@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data
70,71,83,82,72,44,44,72,59,71,0,60,72,74,73,70,86,0,0,0,79,0,79,0,0,0,0,0,0,87,88,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,83,83,0,0,2151
62,64,78,79,72,53,54,73,49,75,65,50,76,64,76,74,0,0,0,0,80,76,81,0,76,0,0,75,0,86,88,0,91,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,2151
67,67,78,79,72,53,53,73,52,69,72,52,69,70,80,80,0,0,0,0,80,76,81,0,76,85,86,75,86,86,87,0,91,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,2151
64,66,83,83,69,42,42,69,46,68,80,47,67,70,66,67,83,84,0,0,86,0,82,0,0,85,86,0,86,0,84,0,91,90,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,0,2151
0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
83,83,89,90,59,43,43,62,63,67,84,63,68,0,71,71,0,0,82,86,88,0,86,0,0,0,0,0,0,87,90,0,0,0,0,0,88,0,0,0,0,88,0,0,0,0,0,0,0,0,0,85,85,0,0,2152
73,72,84,85,70,42,43,69,59,68,73,59,67,72,76,75,90,0,82,86,84,0,82,0,0,0,0,0,0,87,90,0,0,0,0,0,87,0,0,0,0,85,0,0,0,0,0,0,0,0,0,76,77,0,0,2152
70,69,89,90,69,41,41,68,53,59,73,53,58,77,63,64,90,0,0,0,80,0,81,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,0,0,0,85,0,0,0,0,0,0,0,0,0,84,83,0,0,2152
67,67,89,90,69,42,42,68,48,58,0,49,57,77,61,62,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,84,83,0,0,2152
68,68,85,85,68,43,43,68,49,61,0,49,60,76,61,60,0,0,0,83,70,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,81,81,0,0,2152
67,68,85,85,68,42,43,68,48,58,0,49,59,76,60,61,0,0,82,82,70,0,70,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,81,81,0,0,2152
66,67,84,85,70,45,45,70,49,56,0,49,57,0,61,61,0,0,82,82,71,0,71,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,83,83,0,0,2152
67,67,81,81,70,45,45,71,54,63,76,54,64,77,65,67,0,88,85,83,78,0,81,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,76,77,0,0,2152
63,63,82,82,74,42,40,74,55,70,70,54,71,69,74,74,0,88,85,83,82,0,85,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,74,74,0,0,2152
77,77,86,85,64,38,37,64,48,62,70,48,62,69,70,69,0,0,83,79,77,0,77,0,0,0,0,0,0,0,84,0,0,0,0,80,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,85,85,0,0,2152
70,73,86,85,63,41,41,65,51,56,73,50,56,73,72,73,0,0,83,79,78,86,77,0,84,0,0,0,0,87,0,0,0,0,0,80,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,85,85,0,0,2152
71,73,85,84,64,40,40,64,50,58,74,51,58,75,72,72,0,0,0,0,79,86,78,0,84,0,0,0,0,88,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,0,2152
71,74,85,85,64,39,39,65,49,58,74,50,59,76,73,73,0,0,0,0,80,0,80,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,86,0,0,2152
72,72,83,82,69,36,36,69,66,55,76,67,55,76,66,66,0,0,0,0,80,0,80,0,0,0,0,0,0,88,88,0,0,0,0,80,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,82,82,0,0,2152
72,72,91,90,69,35,35,70,52,55,76,53,56,76,74,64,0,0,75,75,77,0,76,85,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,80,80,84,0,2152
75,74,88,88,66,53,52,68,42,0,0,42,82,0,0,78,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,79,0,0,2153
78,77,77,77,73,46,46,73,66,77,72,66,76,74,71,70,85,92,0,0,84,87,84,0,86,87,87,86,88,0,0,0,86,86,85,0,0,0,0,0,0,81,91,0,0,0,0,0,0,0,0,68,67,0,0,2153
85,85,89,90,73,56,56,73,53,81,72,54,82,74,76,76,88,90,72,72,73,87,74,0,86,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,67,0,0,2153
73,71,81,82,72,50,50,71,56,76,0,57,75,0,78,78,88,90,73,72,80,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,2153
76,76,88,89,62,37,37,65,55,75,70,57,84,69,75,74,0,0,0,0,84,90,86,0,0,0,0,90,0,0,0,0,0,0,0,76,77,0,0,0,0,0,87,0,0,0,0,0,0,0,0,85,85,0,0,2153
64,63,92,91,62,40,41,65,51,72,68,51,84,69,75,77,0,0,0,79,84,0,75,0,0,0,0,0,0,84,0,0,0,0,0,83,81,0,0,0,0,0,87,0,0,0,0,0,0,0,0,78,78,0,0,2153
65,65,75,75,0,49,49,0,57,76,59,57,75,59,71,73,0,0,0,79,76,0,77,0,0,82,83,0,84,84,0,0,88,91,88,83,81,0,0,0,0,76,0,0,0,0,0,0,0,0,0,76,76,0,0,2153
67,67,82,82,74,43,43,74,54,76,64,55,78,59,63,73,0,0,0,0,79,0,79,0,0,82,83,0,84,82,0,0,88,91,88,0,88,0,0,0,0,83,88,0,0,0,0,0,0,0,0,77,76,0,0,2153
67,67,82,82,75,44,44,75,58,75,66,57,75,65,63,0,0,0,0,0,81,0,79,0,0,0,0,0,0,82,86,0,0,0,0,0,88,0,0,0,0,80,87,0,0,0,0,0,0,0,0,77,76,0,0,2153
67,67,82,82,75,43,43,75,56,73,66,56,74,65,65,65,0,0,75,74,81,0,82,0,0,0,0,0,0,84,82,0,0,0,0,80,76,0,0,0,0,70,87,0,0,0,0,0,0,0,0,79,80,0,0,2153
66,65,82,82,75,44,44,75,56,74,64,55,74,0,65,65,0,0,75,74,81,0,80,0,0,0,0,0,0,84,82,0,0,0,0,80,76,0,0,0,0,70,87,0,0,0,0,0,0,0,82,76,76,0,0,2153
66,67,82,82,74,43,44,75,54,74,61,55,73,0,0,0,83,0,0,0,82,0,80,0,0,91,0,0,90,0,78,0,0,0,0,0,77,0,0,0,0,0,87,0,0,0,0,0,0,0,82,77,77,0,0,2153
73,73,84,84,75,41,41,76,56,77,61,56,75,0,0,0,77,77,0,0,82,0,80,0,0,91,0,0,90,82,78,0,0,0,0,0,77,0,0,0,0,78,85,0,0,0,0,0,0,0,0,87,88,0,0,2153
64,64,84,84,75,41,42,76,52,79,72,53,75,0,0,0,83,85,73,0,74,0,74,0,0,0,0,0,0,82,0,0,0,0,0,0,77,0,0,0,0,78,87,0,0,0,0,0,0,0,0,82,82,0,0,2153
0,0,0,0,74,60,60,74,74,88,0,73,86,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,73,0,0,0,0,76,0,0,91,0,0,0,0,0,0,90,89,0,0,2124
0,0,0,0,79,59,59,82,70,88,0,71,86,0,83,84,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,76,0,0,0,0,76,0,0,91,0,0,0,0,0,0,93,93,0,0,2124
0,0,0,0,88,58,58,88,66,77,0,66,79,0,80,78,0,82,0,0,0,0,0,0,0,0,0,0,0,85,0,78,0,0,0,0,72,0,0,0,0,0,0,0,0,0,75,0,0,0,0,93,93,0,0,2124
0,0,0,0,85,52,52,86,72,77,0,72,79,0,80,78,0,83,0,0,0,0,0,0,0,0,0,0,0,75,75,76,0,0,0,0,72,0,0,0,0,80,0,0,0,0,75,0,0,0,0,0,0,0,0,2124
0,0,0,0,79,56,56,79,69,0,0,69,0,0,73,75,78,79,0,0,0,0,0,0,0,0,0,0,0,75,86,76,0,0,0,0,77,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
0,0,0,0,84,52,51,84,69,77,0,71,78,0,80,80,78,79,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,76,0,0,0,0,81,0,0,0,0,85,0,0,0,0,0,0,0,0,2124
87,85,0,0,85,55,56,85,70,82,0,69,83,0,73,73,0,0,0,0,77,0,79,0,0,0,0,0,0,81,78,77,0,0,0,0,80,0,0,0,0,0,86,0,0,0,85,0,0,0,0,0,0,0,0,2124
0,0,0,0,70,55,55,70,64,0,0,64,0,0,85,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,77,0,0,0,0,74,0,0,0,0,0,0,0,0,2124
73,75,84,84,70,49,50,71,55,78,81,56,80,83,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
84,86,0,0,81,47,47,81,70,82,0,76,80,0,72,74,0,0,0,0,0,0,0,0,0,0,0,0,0,79,80,81,0,0,0,80,80,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
79,79,87,85,70,50,51,71,52,76,80,52,77,79,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
84,88,0,0,81,46,47,81,76,79,0,74,78,0,75,75,83,84,0,0,0,0,0,0,0,0,0,0,0,79,80,77,0,0,0,77,80,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
70,70,83,84,70,52,52,72,49,75,75,50,75,78,72,75,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
82,80,0,0,82,45,45,80,78,81,0,79,81,0,69,73,83,84,0,0,0,0,0,0,0,0,0,0,0,80,81,77,0,0,0,79,80,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,2124
75,75,83,84,70,50,50,72,47,73,75,47,74,78,72,73,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
83,83,0,0,83,42,42,84,60,65,0,62,65,0,71,75,0,81,0,0,0,0,0,0,0,0,0,0,0,80,81,0,0,0,0,84,0,0,0,0,0,81,87,0,0,0,0,0,0,0,0,87,88,0,0,2124
73,74,85,85,69,47,47,70,46,75,0,48,76,0,74,74,86,86,82,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
84,86,0,0,83,52,47,84,76,77,0,78,76,0,70,70,0,85,0,0,0,0,0,0,0,0,0,0,0,83,85,0,0,0,0,84,0,0,0,0,0,82,84,0,86,0,0,0,0,0,0,87,88,0,0,2124
73,74,85,86,70,48,48,70,48,74,0,48,74,0,73,73,0,0,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
88,86,0,0,74,41,42,75,72,70,0,70,69,0,63,63,72,83,0,0,0,0,0,0,0,0,0,0,0,83,80,80,0,0,0,69,0,0,0,0,0,81,77,0,89,0,0,0,0,0,0,0,92,0,0,2124
75,73,85,86,70,47,47,70,46,74,77,47,75,77,71,73,0,0,84,82,82,86,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
78,78,0,0,83,45,45,84,67,77,74,68,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,91,0,0,2123
78,78,93,92,61,43,41,61,57,64,79,56,64,81,60,60,0,0,74,79,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
84,84,0,0,83,51,51,84,71,80,0,73,81,0,74,73,84,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,91,0,0,2123
74,75,88,87,66,38,38,67,59,64,79,59,64,81,72,69,0,0,74,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
84,84,0,0,85,46,46,86,76,81,0,77,82,0,71,70,84,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,93,92,0,0,2123
70,71,85,86,64,42,42,65,53,72,76,53,71,77,60,60,0,0,78,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
0,0,0,0,84,53,48,86,67,77,0,68,77,0,78,70,84,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,93,92,0,0,2123
62,63,85,86,64,38,39,65,56,58,76,57,59,77,67,75,0,88,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
80,80,0,0,83,55,56,85,64,80,0,65,79,0,76,76,83,84,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,82,83,0,0,2123
81,80,89,90,63,36,35,63,59,60,71,58,60,72,64,64,0,88,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
80,80,0,0,89,55,55,89,75,80,0,75,79,0,79,80,83,84,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,83,0,0,2123
76,77,89,90,63,25,26,64,57,55,80,56,56,79,64,64,0,88,0,0,87,0,87,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
80,80,0,0,89,54,53,89,79,85,0,80,85,0,79,80,0,0,0,0,0,0,0,0,0,0,0,0,0,83,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
64,65,86,86,70,43,43,69,59,52,73,59,53,73,64,65,0,0,0,0,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
81,83,0,0,85,49,49,85,72,75,0,72,73,0,78,79,81,0,0,0,0,0,0,0,0,0,0,0,0,83,87,0,0,0,0,83,83,0,0,0,0,78,0,0,0,0,0,0,0,0,0,90,91,0,0,2123
64,64,84,85,77,35,35,76,57,69,66,58,68,66,72,71,0,0,0,0,84,80,81,0,81,85,86,79,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
79,78,0,0,87,53,54,86,65,75,0,65,73,0,78,79,81,86,0,0,0,0,0,0,0,0,0,0,0,84,87,0,0,0,0,83,83,0,0,0,0,78,0,0,0,0,0,0,0,0,0,90,91,0,0,2123
79,80,84,85,60,54,54,60,50,72,66,51,71,66,69,69,0,0,0,0,84,80,81,0,81,85,86,79,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
79,78,0,0,87,51,51,86,75,80,0,74,81,0,78,80,81,82,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,82,2123
79,80,0,0,68,49,49,66,63,79,77,64,78,78,69,69,0,0,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
77,77,0,0,89,61,61,91,70,80,0,70,81,0,86,87,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,85,85,0,82,2123
73,72,89,89,58,44,44,57,48,76,77,47,76,78,73,74,0,0,72,72,73,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
70,71,84,84,67,50,50,72,54,76,75,56,74,73,72,76,0,0,82,82,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
87,88,89,89,71,59,58,72,72,82,78,71,82,80,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,91,0,0,2131
73,73,84,84,58,48,48,59,42,80,75,42,80,73,73,73,0,0,76,76,72,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
85,85,0,0,89,61,61,87,74,82,0,75,81,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,91,0,0,2131
72,74,90,88,62,43,43,62,47,80,73,47,80,73,67,69,0,0,72,73,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
78,79,0,0,89,55,55,87,72,82,0,72,81,0,74,75,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,2131
84,84,0,0,78,51,51,80,69,78,0,69,78,0,77,77,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,87,87,0,0,2131
82,81,0,0,84,46,45,85,69,78,0,69,79,0,74,73,0,0,0,0,81,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
85,87,0,0,84,48,47,84,75,78,0,73,78,0,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,87,87,0,0,2131
82,81,0,0,84,50,48,85,66,81,0,66,83,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
85,87,0,0,88,49,49,87,69,0,0,69,0,0,72,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,78,49,50,77,69,77,0,72,76,0,75,76,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
